,Case Number,Type,Status,Project Name,Issued Date,Applied Date,Expiration Date,Finalized Date,Module Name,Address,Main Parcel,Description
0,BLDGR22-0002,Building (Residential) - Solar - Ground,Withdrawn,,,03/07/2022,,,Permit,100 S Main St Ann Arbor MI 48104,09-09-29-142-011,Delete - test
1,BLDGR23-2165,Building (Residential) - Solar - Ground,Void,,,11/01/2023,,,Permit,2971 Burlington St Ann Arbor MI 48105,09-09-15-403-019,5.2 kW PV Solar Panel Installation on Roof
2,BLDGR23-1627,Building (Residential) - Solar - Ground,Void,,,08/18/2023,,,Permit,6 Rockland Ct Ann Arbor MI 48108,09-12-10-303-092,"**Valuation updated from $0 to $12,840**Roof mount solar array"
3,BLDGR23-0721,Building (Residential) - Solar - Ground,Void,,,04/04/2023,,,Permit,3428 Ashburnam Rd Ann Arbor MI 48105,09-09-11-304-016,**VOIDED.  NOT REQUIRED.  QUALIFIES FOR EXPEDITED SOLAR PERMIT**  5.53 kW PV Solar Panel Installation on Roof
4,BLDGR24-0507,Building (Residential) - Solar - Ground,Void,,,03/13/2024,,,Permit,1522 Newport Creek Dr Ann Arbor MI 48103,09-09-18-403-003,13.6 kW PV Solar Panel Installation on Roof
5,BLDGR22-3206,Building (Residential) - Solar - Ground,Final,,09/19/2022,09/12/2022,09/18/2023,03/23/2023,Permit,1435 Catalina Dr Ann Arbor MI 48103,09-09-31-416-007,Install residential rooftop solar system interconnected with homes existing service equipment. 33 solar panels @ 13.2kW DC
6,BLDGR23-0830,Building (Residential) - Solar - Ground,Fees Paid,,,04/23/2023,,,Permit,2073 Garden Cir Ann Arbor MI 48103,09-09-30-304-041,Install 13 Solar Panels
7,BLDGR23-1279,Building (Residential) - Solar - Ground,Withdrawn,,,06/21/2023,,,Permit,2279 Mershon Dr Ann Arbor MI 48103,09-12-06-109-013,18 panel roof mounted solar array with backup battery. *CANCELED BY CONTRACTOR SEE EMAIL*
8,BLDGR22-3210,Building (Residential) - Solar - Ground,Final,,09/15/2022,09/13/2022,08/02/2023,02/04/2023,Permit,834 Dartmoor Rd Ann Arbor MI 48103,09-09-30-317-012,Propose to install solar panels on existing roof of the home. All materials to be installed to manufacturer specifications per local snow and wind load.
9,BLDGR22-3445,Building (Residential) - Solar - Ground,Final,,10/27/2022,10/14/2022,08/14/2023,02/14/2023,Permit,1561 Newport Creek Dr Ann Arbor MI 48103,09-09-18-405-020,Propose to install Solar panels on the existing roof of the home. All materials to be installed to manufacturer specifications per local snow and wind load.
10,BLDGR23-1785,Building (Residential) - Solar - Ground,Void,,,09/12/2023,,,Permit,2521 Jade Ct Ann Arbor MI 48103,09-08-36-400-033,**NOT REQUIRED.  REFUND REQUEST SUBMITTED**  8.3 kW PV Solar Panel Installation on Roof -- 20 panels
11,BLDGR23-2130,Building (Residential) - Solar - Ground,Void,,,10/26/2023,,,Permit,1570 Glastonbury Rd Ann Arbor MI 48103,09-09-31-314-006,5.6 kW PV Solar Panel Installation on Roof
12,BLDGR22-3251,Building (Residential) - Solar - Ground,Expired,,10/11/2022,09/19/2022,04/10/2023,12/07/2022,Permit,3352 Nordman Rd Ann Arbor MI 48108,09-12-10-105-001,Installing 24 roof mounted solar panels.
13,BLDGR23-0690,Building (Residential) - Solar - Ground,Withdrawn,,,03/30/2023,,,Permit,1304 Horman Ct Ann Arbor MI 48104,09-09-33-228-023,"installation of 21 panel roof mounted solar array with battery backup *PERMIT PULLED BY MISTAKE, WITHDRAWN BY CONTRACTOR SEE EMAIL*"
14,BLDGR22-3708,Building (Residential) - Solar - Ground,Fees Paid,,,11/29/2022,,,Permit,1626 Peach St Ann Arbor MI 48105,09-09-21-207-024,Customer is expanding his solar array. We will be adding four additional roof solar panels to his current system.
15,BLDGR22-2350,Building (Residential) - Solar - Ground,Void,,,05/13/2022,,,Permit,1115 Lutz Ave Ann Arbor MI 48103,09-09-30-408-003,Roof Mounted Solar Installation of 4.86 KW
16,BLDGR24-2247,Building (Residential) - Solar - Ground,Fees Paid,,,10/15/2024,,,Permit,1415 N Folkstone Ct Ann Arbor MI 48105,09-09-23-403-016,"REPLACING 2 WINDOWS  ON HOME
DINING , LIVING ROOM"
17,BLDGR22-2886,Building (Residential) - Solar - Ground,Final,,07/26/2022,07/19/2022,04/17/2023,10/20/2022,Permit,1910 Independence Blvd Ann Arbor MI 48104,09-12-03-223-005,Propose to install solar panels on the existing roof of the home. All materials to be installed to manufacturer specifications per local snow and wind load.
