Permit #,Workclass,Issue Date,Address,Description,Contractor
TC-RES-0324-01424,Solar,04/10/2024,,PV SOLAR INSTALLATION / DERATE 175A,VECTOR ENERGY LLC DBA FUSION POWER CO
TC-RES-0324-01428,Solar,04/10/2024,,PV SOLAR INSTALLATION,VECTOR ENERGY LLC DBA FUSION POWER CO
TC-RES-0324-01430,Solar,04/10/2024,,PV SOLAR INSTALLATION,VECTOR ENERGY LLC DBA FUSION POWER CO
TC-RES-0324-01432,Solar,04/10/2024,,PV SOLAR INSTALLATION,VECTOR ENERGY LLC DBA FUSION POWER CO
TC-RES-0324-01437,Solar,04/10/2024,,Roof-mounted solar PV installation.,Andres Bautista-Aranda
TC-RES-0324-01442,Solar,04/10/2024,,Installation of Roof Mounted 4.80kW PV System with Existing System,Our World Energy
TC-RES-0324-01465,Solar,04/10/2024,,ROOF MOUNTED PV SYSTEM,Freedom Forever
TC-RES-0324-01466,Solar,04/10/2024,,ROOF MOUNTED PV SYSTEM,Freedom Forever
TC-RES-0324-01467,Solar,04/10/2024,,RO0OF MOUNTED PV SYSTEM,Freedom Forever
TC-RES-0324-01468,Solar,04/10/2024,,"Roof mount 8.17kW DC photovoltaic solar system; 19 AC modules, 2 branches, PV Combiner Box, 40A PV breaker on",Technicians for Sustainability
TC-RES-0324-01469,Solar,04/10/2024,,ROOF MOUNTED PV SYSTEM,Freedom Forever
TC-RES-0324-01475,Solar,04/10/2024,,PV SOLAR - ROOF MOUNTED / METER COLLAR ADAPTOR,VECTOR ENERGY LLC DBA FUSION POWER CO
TC-RES-0324-01502,Solar,04/10/2024,,"Roof mount 6.15kW DC photovoltaic solar system; 15 AC modules, 2 branches, PV Combiner Box, 30A PV breaker on",Technicians for Sustainability
TC-RES-0324-01505,Solar,04/10/2024,,"roof mount 2.1 kW DC addition to existing photovoltaic solar system (new total system size: 8.58 kW), 5 additional",Technicians for Sustainability
TC-RES-0324-01515,Solar,04/10/2024,,PV SOLAR INSTALLATION,VECTOR ENERGY LLC DBA FUSION POWER CO
TC-RES-0324-01596,Solar,04/08/2024,,Installation of additional 13.5 kWh energy storage system as addition to existing PV solar system with energy storage,Tesla Energy
TC-RES-0324-01775,Solar,04/10/2024,,Installation of Roof mounted 4.25kW PV System with Existing System /Supply Side Breaker / Subpanel,Our World Energy
TC-RES-0324-01852,Solar,04/10/2024,,PV SOLAR + MAIN PANEL UPGRADE 225A,VECTOR ENERGY LLC DBA FUSION POWER CO
TC-RES-0823-07101,Solar,04/08/2024,,ROOF MOUNTED PV SYSTEM,Freedom Forever
TC-RES-1223-09912,Solar,04/08/2024,,ROOF MOUNTED PV SYSTEM,Freedom Forever
TC-RES-1223-10143,Solar,04/09/2024,,ROOF MOUNTED PV SYSTEM,Freedom Forever
,Solar,04/12/2023,,R - Installation of a roof mounted 13.600kW PV System,Titan Solar Power Inc
,Solar,04/10/2023,,R - Installation of a roof mounted 11.200kW PV System and a main panel upgrade to 200A,Titan Solar Power Inc
TC-RES-0123-02219,Solar,04/10/2023,,14 x 370w panels 1 x 3.80kw inverter MPU 200,
TC-RES-0223-02743,Solar,04/10/2023,,roof mounted PV system 11 x 400W panels,
TC-RES-0223-02744,Solar,04/10/2023,,roof mounted PV system,
TC-RES-0223-02863,Solar,04/13/2023,,"• SYSTEM SIZE: 3400W DC, 2400W AC","Sunrun Installation Services, Inc"
TC-RES-0223-02870,Solar,04/10/2023,,Installation of a roof mounted 4.400kW PV System,
TC-RES-0223-02880,Solar,04/10/2023,,"• SYSTEM SIZE: 3060W DC, 2160W AC",
TC-RES-0223-02898,Solar,04/13/2023,,"• SYSTEM SIZE: 6460W DC, 5510W AC",
TC-RES-0223-02901,Solar,04/10/2023,,20 x 400w solar panels @ 7.9KW,
TC-RES-0223-02902,Solar,04/10/2023,,"Roof-Mounted PV Install , 16.28 kW DC , 12.76 kW AC , MPU to 200A Solar-Ready",
TC-RES-0223-02905,Solar,04/10/2023,,"Roof mount 10.50 kW DC photovoltaic solar system, 25 AC modules, 3 branches, PV subpanel, interconnect via load",
TC-RES-0223-02922,Solar,04/10/2023,,Rooftop solar installation with a sub panel upgrade to tie in solar breaker.,
TC-RES-0223-02932,Solar,04/10/2023,,PV Install,
TC-RES-0223-02965,Solar,04/10/2023,,Installation of a roof mounted 10.000kW PV System and a main panel upgrade to 225A,
TC-RES-0223-02967,Solar,04/14/2023,,"• SYSTEM SIZE: 7290W DC, 5220W AC","Sunrun Installation Services, Inc"
TC-RES-0223-03044,Solar,04/10/2023,,roof mounted PV system,
TC-RES-0223-03105,Solar,04/10/2023,,Installation of a roof mounted 4.800kW PV System and a main panel upgrade to 225A     24521.00,
TC-RES-0223-03108,Solar,04/10/2023,,Installation of a roof mounted 6.400kW PV System,
TC-RES-0223-03119,Solar,04/12/2023,,"• SYSTEM SIZE: 5100W DC, 3600W AC",
TC-RES-0223-03167,Solar,04/12/2023,,Installation of a 6.12 kW PV SYSTEM / 200 AMP MPU,
TC-RES-0223-03176,Solar,04/12/2023,,"roof mount 8.50 kW DC photovoltaic solar system; 20 AC modules, 3 branches, PV subpanel, 40A PV breaker on 200A",
TC-RES-0323-03183,Solar,04/10/2023,,Roof Mounted PV System with PV meter and AC Disco,
TC-RES-0323-03197,Solar,04/10/2023,,roof mounted PV system 5.6kwdc//6kwac,
TC-RES-0323-03206,Solar,04/10/2023,,roof mounted pv system,
TC-RES-0323-03208,Solar,04/10/2023,,roof mounted PV system 8kwdc/7.6kwac,
TC-RES-0323-03218,Solar,04/12/2023,,roof mounted PV system    30000.00,
TC-RES-0323-03289,Solar,04/12/2023,,"roof mount 7.38 kW DC photovoltaic solar system; 18 AC modules, 1 Tesla battery with inverter with 2 strings each,",
TC-RES-0323-03308,Solar,04/10/2023,,Installation of a 5.46 kW PV SYSTEM / DERATED FROM 125A TO 100A     6850.00,
TC-RES-0323-03309,Solar,04/10/2023,,Installation of a 15.30 kW PV SYSTEM /  DERATED FROM 200A TO 175A   13850.00,
TC-RES-0323-03310,Solar,04/13/2023,,"• SYSTEM SIZE: 3400W DC, 2900W AC    7113.00","Sunrun Installation Services, Inc"
TC-RES-0323-03317,Solar,04/13/2023,,"• SYSTEM SIZE: 3060W DC, 2160W AC    6048.00","Sunrun Installation Services, Inc"
TC-RES-0323-03323,Solar,04/12/2023,,"• SYSTEM SIZE: 8510W DC, 6670W AC    15090.00","Sunrun Installation Services, Inc"
TC-RES-0323-03325,Solar,04/12/2023,,"• SYSTEM SIZE: 8510W DC, 6670W AC   15282.00","Sunrun Installation Services, Inc"
TC-RES-0323-03336,Solar,04/13/2023,,"• SYSTEM SIZE: 4420W DC, 3120W AC    9222.00","Sunrun Installation Services, Inc"
TC-RES-0323-03339,Solar,04/10/2023,,PV SOLAR INSTALLATION - Main Panel Upgrade 225A Like for Like    27412.00,
TC-RES-0323-03345,Solar,04/10/2023,,Installation of a 6.75 kW PV SYSTEM    6750.00,
TC-RES-0323-03346,Solar,04/10/2023,,Installation roof mounted pv system + (1) TESLA POWERWALL & GATEWAY      38091.20,
TC-RES-0323-03357,Solar,04/12/2023,,"• SYSTEM SIZE: 11100W DC, 8700W AC    20548.00","Sunrun Installation Services, Inc"
TC-RES-0323-03359,Solar,04/12/2023,,"• SYSTEM SIZE: 4070W DC, 3190W AC     8222.00","Sunrun Installation Services, Inc"
TC-RES-0323-03371,Solar,04/10/2023,,4.25kw rooftop solar system,
TC-RES-0323-03375,Solar,04/10/2023,,11.84kw Rooftop Solar System    31952.00,
TC-RES-0323-03380,Solar,04/10/2023,,roof mounted PV system,
TC-RES-0323-03382,Solar,04/10/2023,,7.60 kW DC SOLAR PV FIXED-TILT ROOF MOUNTED SYSTEM ON EXISTING FLAT-BUILT UP ROOF PLANE,
TC-RES-0323-03396,Solar,04/13/2023,,"• SYSTEM SIZE: 8140W DC, 6380W AC    16413.00","Sunrun Installation Services, Inc"
