Permit #,Workclass,Issue Date,Address,Description,Contractor
T22CM07903,Solar,03/30/2023,"5761 S PARK AV, TUCSON, AZ 
85706",Solar Permit,Contractco Inc
TC-COM-0824-01509,Solar,04/01/2025,,Public Storage # 07112,Ralph Buehler
TC-COM-1023-02341,Solar,04/01/2024,"1302 W AJO WY, TUCSON, AZ 
85713",New solar PV system to supplement resident usage throughout the community. The system will consist of 1471 solar,Juan Chee
T22CM02361,Solar,04/05/2023,"2040 N 1ST AV, TUCSON, AZ 
85719","199.8 KWAC, 229.05 KWDC ROOF-MOUNTED PHOTOVOLTAIC SYSTEM",Solar Gain Inc.
T22CM02521,Solar,04/04/2023,"1920 N 1ST AV, TUCSON, AZ 
85719","266.4 KWAC, 323.55 KWDC ROOF MOUNTED PHOTOVOLTAIC SYSTEM",Solar Gain Inc.
T22CM02901,Solar,04/05/2023,"2040 N 1ST AV, TUCSON, AZ 
85719","199.8 KWAC, 229.05 KWDC ROOF-MOUNTED PHOTOVOLTAIC SYSTEM",Solar Gain Inc.
TC-COM-0324-00448,Solar,04/17/2024,"710 S KOLB RD, TUCSON, AZ 
85710","REPAIR OF EXISTING SOLAR PANEL SYSTEM, REPLACEMENT OF INVERTER SYSTEM WITH NEW",Solar Gain Inc.
TC-COM-0324-00480,Solar,04/18/2024,"2175 N 6TH AV, TUCSON, AZ 
85705",The TUCSON SYMPHONY ORCHESTRA Photovoltaic System will consist of 172 SILFAB 500W modules.  grid-tied,Technicians for Sustainability
TC-COM-0123-00455,Solar,04/18/2023,,TMC Rincon Campus PV is 101.05kW DC (145 Silfab 490W & 60 Silfab 500W modules). Grid-tied inverters will,Technicians for Sustainability
TC-COM-0223-00573,Solar,04/18/2023,,150kW AC Photovoltaic Shade Structures,
TC-COM-0224-00388,Solar,04/23/2024,,ENCANTADA LA ESTANCIA PV SYSTEM* WILL CONSIST OF 69 SILFAB 500W MODULES WITH (4) GRID-TIED,Technicians for Sustainability
TC-COM-0324-00486,Solar,04/22/2024,,Install PV solar shade structure,SOLON Corporation
TC-COM-0423-00964,Solar,04/22/2024,,New Photvoltaic System 3 Steel Stand Alone Structures - 169 Modules,Green Source EPC
T22CM02905,Solar,04/26/2023,"1940 N 1ST AV, TUCSON, AZ 
85719","266.4 KWAC, 323.55 KWDC ROOF MOUNTED PHOTOVOLTAIC SYSTEM",Solar Gain Inc.
TC-COM-1222-00375,Solar,05/05/2023,"2002 S MISSION RD, TUCSON, AZ 
85713",50kW AC PV Shade Structure,
TC-COM-0124-00177,Solar,05/08/2024,"3300 S PARK AV, TUCSON, AZ 
85713",Install PV Solar Canopy 128.52 KW dc/ 100 KW ac,SOLON Corporation
TC-COM-0324-00558,Solar,05/06/2024,"338 N GRANADA AV, TUCSON, AZ 
85701",Installation of Roof mounted 22kW PV System / Load Side tap,Our World Energy
TC-COM-0424-00645,Solar,05/06/2024,,Install ground mount solar tracker project (8.75 MW DC),SOLON Corporation
TC-COM-0124-00151,Solar,05/16/2025,"4420 S 6 TH AV , TUCSON, AZ 
85714",Installation of rooftop solar and a small parking structure,SEC
TC-COM-0124-00001,Solar,05/13/2024,"3300 S PARK AV, TUCSON, AZ 
85713",Install PV Solar Canopy 128.52 KW dc/ 100 KW ac,SOLON Corporation
TC-COM-0423-01041,Solar,05/19/2023,"9800 E RITA RD, TUCSON, AZ 
85747",50 kw (AC) solar covered parking canopy installation,
TC-COM-0425-00817,Solar,05/23/2025,"4431 E 22ND ST, TUCSON, AZ 
85711",Roof Mounted PV System - The NEWPORT BELVEDERE TERRACE 303.81kW Photovoltaic system will consist of 582,Technicians for Sustainability
TC-COM-0425-00847,Solar,05/27/2025,"1641 W PRINCE RD, TUCSON, AZ 
85705",THIS PROJECT IS COMPRISED OF THE FOLLOWING :,Zachary Martlock
TC-COM-0424-00759,Solar,05/31/2024,,"REPAIR OF EXISTING PV SYSTEM/ All replaced parts are 'Like for Like', per SOL @ Solar Gain Inc.",Bert Klunder
TC-COM-0223-00595,Solar,06/02/2023,"548 E SPEEDWAY BL, TUCSON, AZ 
85705",Roof-Mounted PV Solar Project with MSA.,Saguaro Solar Electric
TC-COM-0325-00489,Solar,06/06/2025,,INSTALLATION OF 105.6 KWDC GROUND MOUNTED SOLAR PANEL SYSTEM ON SINGLE AXIS TRACKER,Rodney Burns
TC-COM-0425-00857,Solar,06/03/2025,,The Metro Gnome PV System will consist of 36 Hanwha 435W modules mounted on the existing roof.  Grid-tied,Technicians for Sustainability
TC-COM-0425-00861,Solar,06/06/2025,"998 S CHERRY AV , TUCSON, AZ 
85719",The Canary Systems PV system will consist of 30 Silab 520W modules and metal decking mounted on a new steel,Technicians for Sustainability
TC-COM-0324-00480,Solar,06/05/2024,"2175 N 6TH AV, TUCSON, AZ 
85705",The TUCSON SYMPHONY ORCHESTRA Photovoltaic System will consist of 172 SILFAB 500W modules.  grid-tied,Technicians for Sustainability
TC-COM-0424-00616,Solar,06/05/2024,"948 N MAIN AV, TUCSON, AZ 
85705",Rooftop Mounted 3.36KWDC PV Grid Tie PV Solar System w/ Enphase MicroInverters,Daniel Snyder
TC-COM-1122-00199,Solar,06/07/2023,"500 W GRANT RD, TUCSON, AZ 
85705",33.60 KW DC SOLAR PHOTOVOLTAIC SYSTEM (ROOF MOUNTED),
TC-COM-0124-00048,Solar,06/13/2024,"192 S STONE AV, TUCSON, AZ 
85701",Install PV Solar parking canopies .,SOLON Corporation
TC-COM-0524-00793,Solar,06/12/2024,,"The Precision Toyota Building 1 PV System is 311.0kW DC, consisting of 622 modules mounted on the existing roof",Technicians for Sustainability
