,Case Number,Type,Status,Project Name,Issued Date,Applied Date,Expiration Date,Finalized Date,Module Name,Address,Main Parcel,Description
107,ELECC25-0084,Electrical (Commercial) - Solar - Ground/Roof,Final,,02/05/2025,01/21/2025,02/23/2026,08/29/2025,Permit,2935 Plymouth Rd Ann Arbor MI 48105,09-09-15-401-031,9.63 kW Roof mount Solar
108,ELECC24-1326,Electrical (Commercial) - Solar - Ground/Roof,Requires Resubmit,,04/02/2025,10/21/2024,03/02/2026,,Permit,1113 Bydding Rd Ann Arbor MI 48103,09-09-20-305-014,PV Solar installation on roof and sunshade awning.
109,ELECC24-1455,Electrical (Commercial) - Solar - Ground/Roof,Issued,,12/17/2024,12/02/2024,03/13/2026,,Permit,801 Airport Dr Ann Arbor MI 48108,,"Address: 4350 S. State St.

1,104 ZNSHINE SOLAR 550 WATT PHOTOVOLTAIC MODULES WILL BE MOUNTED ON 5 ROWS OF APA'S TITAN GROUND MOUNT
SOLUTION AT A 20 DEGREE TILT."
110,ELECC25-0794,Electrical (Commercial) - Solar - Ground/Roof,Withdrawn,,,07/16/2025,,,Permit,609 S Wagner Rd Ann Arbor MI 48103,09-08-25-301-005,***Wrong Permit Type-See Email Attached***
111,ELECC25-1049,Electrical (Commercial) - Solar - Ground/Roof,Issued,,09/29/2025,09/08/2025,03/28/2026,,Permit,301 E Huron St Ann Arbor MI 48104,09-09-29-114-007,Solar array being installed on the roof(s) of City Hall and the Justice Center.
112,ELECC25-1061,Electrical (Commercial) - Solar - Ground/Roof,In Review,,,09/10/2025,,,Permit,111 N Fifth Ave Ann Arbor MI 48104,09-09-29-126-012,Solar array being installed on the roof of Fire Station 1.
113,ELECC25-1107,Electrical (Commercial) - Solar - Ground/Roof,In Review,,,09/25/2025,,,Permit,2901 E Ellsworth Rd Ann Arbor MI 48108,09-12-10-401-015,50kW AC/49.1kW DC Solar Carport
114,ELECC24-0038,Electrical (Commercial) - Solar - Ground/Roof,Final,Sartorius New Development - 3874 Research Park Dr.,02/01/2024,01/16/2024,04/06/2026,10/08/2025,Permit,3874 Research Park Dr Ann Arbor MI 48108,09-12-09-303-017,Solar panel installation.  (Original Valuation = $0.  Adjusted based on voided BLDGC24-0014)
115,ELECC25-0105,Electrical (Commercial) - Solar - Ground/Roof,Final,,02/13/2025,01/27/2025,04/06/2026,07/10/2025,Permit,1506 Broadway St Ann Arbor MI 48105,09-09-21-302-001,33.44 kW of Roof Mount Solar
116,ELECC25-0806,Electrical (Commercial) - Solar - Ground/Roof,Issued,,08/13/2025,07/17/2025,04/06/2026,,Permit,310 E Huron St Ann Arbor MI 48104,09-09-29-113-010,"13.9 kW ROOF MOUNT SOLAR ARRAY WITH 11.4kW INVERTER
Building permit:  BLDGC24-0215"
117,ELECC24-1362,Electrical (Commercial) - Solar - Ground/Roof,Issued,,02/05/2025,10/31/2024,04/07/2026,,Permit,530 N Division St Ann Arbor MI 48104,09-09-29-102-006,"Install solar located on carport, flat roof, and pitched roof sections of building. Wire to battery and non-battery based inverters."
118,ELECC25-1106,Electrical (Commercial) - Solar - Ground/Roof,In Review,,,09/25/2025,,,Permit,2130 Jackson Ave Ann Arbor MI 48103,09-09-30-216-001,"11.kW DC,30kW AC Solar Carport"
119,ELECC25-0915,Electrical (Commercial) - Solar - Ground/Roof,Issued,,09/03/2025,08/04/2025,04/08/2026,,Permit,747 N Maple Rd Ann Arbor MI 48103,09-08-24-400-023,"4.815 kW of roof mount solar
6.0kW inverter"
120,ELECC25-0914,Electrical (Commercial) - Solar - Ground/Roof,Issued,,09/03/2025,08/04/2025,04/08/2026,,Permit,743 N Maple Rd Ann Arbor MI 48103,09-08-24-400-023,"4.815kW of roof mount solar
6.0kW inverter"
121,ELECC25-0916,Electrical (Commercial) - Solar - Ground/Roof,Issued,,09/03/2025,08/04/2025,04/08/2026,,Permit,717 N Maple Rd Ann Arbor MI 48103,09-08-24-400-023,"6.42kW of roof mount solar
6.0kW inverter"
